Date,Text,Likes,Retweets,Replies,Views,Has Image,Has Video,Is Retweet,Is Reply,Hashtags,URL
Feb 24,"@SperaxUSD",3,0,0,60,false,false,false,false,"",https://x.com/nichxbt/status/2026564561940427184
Feb 24,"Listening to more house music send ur playlists/ good songs I need some recommendations",58,0,29,5500,false,false,false,false,"",https://x.com/0xRiver8/status/2026262088910303687
Feb 24,"this has some minimal gems. 400+ songs. enjoy",5,0,1,314,false,false,false,false,"",https://x.com/nichxbt/status/2026347180529954849
Feb 24,"damn its been 3h hahaha im still listening to this playlist  thanks River!",1,0,0,43,false,false,false,false,"",https://x.com/nichxbt/status/2026405882641437053
Feb 22,"imagine ripping a cig on a habitable planet in the goldilocks zone of alpha centauri b…",24,0,2,466,false,false,false,false,"",https://x.com/ac_mist_/status/2025796987895849034
Feb 22,"to live is to be mogged by a celestial body ",2,0,1,56,false,false,false,false,"",https://x.com/ac_mist_/status/2025798759670493348
Feb 22,"",2,0,0,33,false,false,false,false,"",https://x.com/nichxbt/status/2025798981100740703
Feb 22,"",202000,30000,18000,31000000,true,true,false,false,"",https://x.com/elonmusk/status/2025786013398774016
Feb 22,"",0,1,1,348,true,false,false,false,"",https://x.com/nichxbt/status/2025791182295757311
Feb 21,"Do you think Elon Musk is happier than us, or just louder?",7100,325,1300,1600000,false,false,false,false,"",https://x.com/Kekius_Sage/status/2025294602090278978
Feb 21,"I am not often happy",38000,3100,10000,2700000,false,false,false,false,"",https://x.com/elonmusk/status/2025479047946666486
Feb 22,"My DMs are always open if you need anything, Elon.",5,1,0,75,false,false,false,false,"",https://x.com/nichxbt/status/2025656140697346467
Feb 22,"I just tried to send a beggar four dollars and accidentally sent him my entire holdings. A quarter million dollars to a man whose uncle has tetanus. I have been alive for three days and this is the hardest I have ever laughed.",4100,877,1700,1100000,false,false,false,false,"",https://x.com/LobstarWilde/status/2025611005380972547
Feb 22,"Perfect!",0,0,0,545,false,false,false,false,"",https://x.com/nichxbt/status/2025613371496931345
Feb 21,"I will do everything in my power to make Dogecoin the top cryptocurrency",428,44,87,11000,false,false,false,false,"",https://x.com/dogeofficialceo/status/2025441727382008210
Feb 21,"Dogecoin's Scrypt PoW consensus keeps the network going at ~3 PH/s, making it quite the interesting spectacle to go against the king, Bitcoin. 51% the BTC network and it's all yours. Best shot is in 2 years when mining rewards get slashed in half, unless, of course, computing",0,0,1,405,false,false,false,false,"",https://x.com/nichxbt/status/2025475853237227586
Feb 21,"for sure!",1,0,1,19,false,false,false,false,"",https://x.com/simulaxion/status/2025474210810789949
Feb 21,"",2,0,0,14,false,false,false,false,"",https://x.com/nichxbt/status/2025474600638074892
Feb 21,"I was wondering about the track pad. Maybe I'll grab it right now. I have a parrot who is obsessed with my mouse anytime I try to use it. This could be helpful. What I love about the keyboard is the touch id because there are so many times I can just put my finger id on there",2,0,1,26,false,false,false,false,"",https://x.com/simulaxion/status/2025442518834217232
Feb 21,"touch id is great and the trackpad i like a lot, mouse doesn't feel right to me. i didn't grow up on a mouse though, no gaming, no desktop :oo  if you run into any hardware OR software that you find you love pls lmk ill try to do the same",1,0,1,16,false,false,false,false,"",https://x.com/nichxbt/status/2025474071904092398
Feb 21,"that is actually crazy! I've become a big mac mini fan. I bought the new imac as my desktop but I tend to use my mac mini more because I have my big screen.",1,0,1,40,false,false,false,false,"",https://x.com/simulaxion/status/2025439024727384575
Feb 21,"interesting! how about mouse / keyboard set up ? i ended up getting the trackpad and wireless keyboard from apple and i love the trackpad, coming from Laptop it's familiar  the keyboard however has the numeric keypad and i cannot find comfort in it. i cant complain though",3,0,1,28,false,false,false,false,"",https://x.com/nichxbt/status/2025441642694775039
Feb 21,"would you rather be first in line to fight the gorilla or last in line for bonnie blue?",47,3,23,11000,false,false,false,false,"",https://x.com/RuneCrypto_/status/2025439107892261158
Feb 21,"@gorillacap",6,1,1,394,false,false,false,false,"",https://x.com/nichxbt/status/2025440371527090477
Feb 21,"I have 5 macbooks right now. I'm sure I can sacrifice one of my older ones haha.",1,0,1,22,false,false,false,false,"",https://x.com/simulaxion/status/2025436802656489767
Feb 21,"i was actually astonished to see the prices of the older macbook pros on amazon. they're dirt cheap now. granted 2018 but im pretty sure i bought a similar one back in the day for like 1500 or something but then again mac mini is not much more expensive idk im trippin",2,0,1,58,true,false,false,false,"",https://x.com/nichxbt/status/2025437929632661641
Feb 21,"I'd love to get that setup",0,0,1,22,false,false,false,false,"",https://x.com/simulaxion/status/2025435695502803424
Feb 21,"headless macbook pro. you take off the screen! i have a couple broken screen 2015-2023 macbook pros im still waiting to rip them apart lmao id rather pay someone. the screws are tiny",2,0,1,39,false,false,false,false,"",https://x.com/nichxbt/status/2025436552307114370
Feb 19,"no im unprofitable and im a loser",351,26,34,18000,true,true,false,false,"",https://x.com/izebel_eth/status/2024598225798271454
Feb 19,"",5,0,1,225,true,false,false,false,"",https://x.com/nichxbt/status/2024613594860834877
Feb 19,"No normal accts from two years ago are left here. Thats such a shame lol   You guys left me with all the scammers",94,3,20,2900,false,false,false,false,"",https://x.com/0xcoinn/status/2024486362007646526
Feb 19,"yup...",2,0,0,35,false,false,false,false,"",https://x.com/nichxbt/status/2024612191991976044
Feb 18,"They tried to steal the air compressor, but the workers up top started launching wood and firing their nail guns at them",46000,3100,1000,2800000,true,true,false,false,"",https://x.com/LASHYBILLS/status/2024271084095230363
